938	https://www.mediastatements.wa.gov.au/Pages/Barnett/2016/05/Campaign-to-ensure-safety-of-second-hand-cots.aspx	About 50 West Australian children are taken to hospital with cot-related injuries each year, prompting a new campaign to educate parents about the safety of second-hand cots.  Commerce Minister Michael Mischin said the campaign aimed to prevent the sale or exchange of dangerous cots that did not comply with current Australian safety standards. "The child safety campaign will be directed to parent groups, online classified sites, charity and second-hand furniture stores as well as the wider community," Mr Mischin said. "Posters, a video and a smartphone app have been produced outlining the mandatory standards for cots to prevent injuries or deaths; such as the minimum and maximum gap allowed between the bars to ensure an infant won't get its head or limbs trapped. "New parents are often given cots by friends or relatives, so it's important that these cots are examined carefully and checks are carried out to prevent any injuries or deaths.  It is illegal for retail stores to sell a product that fails to comply with mandatory safety standards." The main measurements to check are: "We don't want cots to become a death trap for infants or be the cause of an injury, so we urge all parents to make themselves familiar with the safety requirements and destroy older cots which do not meet the mandatory standards," the Minister said. "We should all be conscious of hazards that may threaten babies and infants, so cots that don't comply should be taken out of circulation, never passed on or sold." Minister's office - 6552 5600	{"minister": "Mischin", "portfolio": "Commerce"}	2016-05-17
939	https://www.mediastatements.wa.gov.au/Pages/Barnett/2016/02/Early-success-with-golden-bandicoot-release.aspx	An ambitious plan to return threatened golden bandicoots to the wild at the Matuwa Kurrara-Kurrara Indigenous Protected Area, north-east of Wiluna in the Goldfields, has shown early signs of success. Environment Minister Albert Jacob said 93 golden bandicoots were moved from inside Matuwa's introduced predator-free enclosure back to their natural range in September 2015. "Feral cats have been reduced by annual aerial baiting throughout Matuwa over several years and additional cat trapping was undertaken within the release area before and after the bandicoots were released," Mr Jacob said. "Despite some losses of golden bandicoots to dingo predation, early signs are showing the animals are becoming established." The Minister said recent trapping recaptured 30 animals and they had increased their body weight post-release by 30 to 50 per cent. "All 26 females caught during two trapping sessions were carrying pouch young.  Of these, two females showed signs of successful weaning and remarkably, nine of the 10 females in the second trapping had four pouch young each. This is a great outcome because two offspring is the usual number," he said. "Other positive signs were sightings of young golden bandicoot tracks and indications that animals were spreading up to three kilometres from the release zone. "All the evidence suggests that the majority of the released animals have survived and there are sufficient resources to support the new population." Minister's office - 6552 5800	{"minister": "Jacob", "portfolio": "Environment"}	2016-02-29
940	https://www.mediastatements.wa.gov.au/Pages/Barnett/2016/01/104000-in-road-safety-grants-awarded.aspx	The State Government has announced more than $104,000 in grants for community projects which promote road safety. Road Safety Minister Liza Harvey said it was important the road safety message was delivered through these community and local government grassroots events. "Road safety is relevant to every West Australian and these Road Safety Community Grants, funded through speed and red light camera fines, will help spread the message that we all have a responsibility to reduce road trauma," Mrs Harvey said. The Minister said the funded projects included a 'Share the Roads' education program targeting cyclists, motorcycle riders and drivers in the Great Southern. "These local groups are an invaluable component to the State Government's overarching strategy and we are very grateful for their dedication and commitment to this important message," she said. Grant recipients in the third round include: Minister's office - 6552 5900	{"minister": "Harvey", "portfolio": "Road Safety"}	2016-01-12
941	https://www.mediastatements.wa.gov.au/Pages/Barnett/2016/01/Assistance-during-bushfire-recovery.aspx	​ The State Government is providing assistance to property owners and South-West communities as they rebuild and recover from recent bushfires. Lands Minister Terry Redman said Landgate was providing duplicate Certificates of Titles which were lost or damaged during the fires, at no cost to applicants and will assist with property ownership details if requested. Landgate is also facilitating the re-pegging of property boundaries by re-establishing important infrastructure that provides location information. "Due to the scale of the destruction, property boundaries may be unclear.  South-West residents can be assured that Landgate will determine these to ensure the accurate placement of buildings and fences," Mr Redman said. "Other information available through Landgate includes aerial photography to determine the location of roads and property addresses." People in regional areas can contact Landgate on 1300 365 288 or visit  Minister's office - 6552 6700  	{"minister": "Redman", "portfolio": "Lands"}	2016-01-14
942	https://www.mediastatements.wa.gov.au/Pages/Barnett/2015/12/Start-of-extended-Christmas-shopping-hours.aspx	From tomorrow, extended retail trading hours for the Christmas period will begin, giving Perth shoppers an extra 51 hours to find gifts for family and friends. Commerce Minister Michael Mischin said major retailers could open as early as 7am on weekdays and Saturdays, 8am on Sunday and close later at 6pm on Saturdays and Sundays. Mr Mischin said he had also approved an extension to trading hours to allow City of Perth traders to open from 6pm to 9pm tomorrow evening to coincide with the annual Christmas Pageant. "The extended trading for December will provide greater convenience, choice and flexibility for Perth consumers when doing their pre and post-Christmas shopping this year, and is in line with the State Government's commitment to gradually ease restrictions," he said. The Minister reminded shoppers to exercise their consumer rights, especially if the gifts they bought needed to be returned. "Consumers are entitled to a refund, replacement or repair if the product they buy is faulty, unsafe or not as described," Mr Mischin said. "There are strong laws in place to protect consumers and give them a guarantee that the products they buy from Australian-based retailers, including those trading online, are free from defects, fit for their intended purpose and match the description in any advertising. "However, if consumers want to return a gift because it's the wrong size, they don't like the style or colour or just want to exchange it for another gift they prefer, then the returns policy will differ from store to store and are completely at the retailer's discretion. "If you receive a gift card, make sure you take note of the terms and conditions and the expiry date, or redeem it as soon as possible, as it's estimated Australian retailers make $300 million from unclaimed gift vouchers each year which the consumer is better off spending." Minister's office - 6552 5600	{"minister": "Mischin", "portfolio": "Commerce"}	2015-12-04
943	https://www.mediastatements.wa.gov.au/Pages/Barnett/2016/07/Bell-Tower-lights-up-for-NAIDOC-Week.aspx	The Bell Tower will light up to welcome NAIDOC Week today (July 3) thanks to a newly installed lighting system. Culture and the Arts Minister John Day said the tower would be lit in NAIDOC colours as part of a day of activities at Elizabeth Quay celebrating the history, culture and achievements of Aboriginal and Torres Strait Islander people. The day will include a welcome to country by Noongar elders and Aboriginal dance groups as well as a flag raising ceremony, community stalls, children's activities, and performances by local musicians. "The completion of the lighting system upgrade is timely, as we welcome a week of NAIDOC events and activities," Mr Day said. "Sunday's activities will be capped off with the Bell Tower spire being lit up in NAIDOC colours in the evening." The Minister said the tower was now able to show a sequence of colours that could be used to celebrate or commemorate key events throughout the year. "The new system can also be integrated with the Elizabeth Quay lights including those around  the bridge," he said. The LED lighting project was undertaken jointly by the Swan Bells Foundation and the Department of Culture and the Arts. The new system uses more advanced lighting technology that is simpler to use and more cost efficient with the LED lights using less energy, and the system requiring less maintenance. Minister's office - 6552 6200	{"minister": "Day", "portfolio": "Culture and the Arts"}	2016-07-03
944	https://www.mediastatements.wa.gov.au/Pages/Barnett/2016/07/1-point-5-million-dollars-for-South-West-lighthouse-precincts.aspx	Regional Development Minister Terry Redman today announced funding of $1.5 million from the Liberal National Government's Royalties for Regions program for the redevelopment of the Cape Leeuwin and Cape Naturaliste lighthouse precincts.  Mr Redman said the redevelopment project would dramatically improve facilities at the two historic lighthouses, situated in Augusta and Dunsborough. "The Capes lighthouses are icons of the South-West that currently attract 150,000 visitors per year," he said. "Not only are they a valuable part of our State's maritime heritage, they also bookend the Cape to Cape walking track and act as the starting point for events like the Augusta Adventure Fest and Cape to Cape MTB." The $1.5 million Royalties for Regions investment will contribute to capital works on eight buildings across the two sites to increase visitor capacity, develop new interpretation services and add new attractions such as a cafe, playground and lookout. "On top of the investments in regional events, tourism marketing and infrastructure like the Busselton-Margaret River Regional Airport; Margaret River Perimeter Road; and Augusta Boat Harbour, the lighthouse project is another example of how Royalties for Regions is supporting tourism in the South-West," the Minister said. The project is one of the first to be funded through the $642 million State-wide Regional Investment Blueprint initiative. The total cost of the project is $1.75 million, with the Margaret River Busselton Tourism Association contributing the remaining $250,000. Minister's office - 6552 6700	{"minister": "Redman", "portfolio": "Regional Development"}	2016-07-01
945	https://www.mediastatements.wa.gov.au/Pages/Barnett/2016/07/Traffic-safety-and-flow-improved-in-Kardinya.aspx	A $5 million upgrade to improve safety and increase vehicle capacity at the intersection of South Street and North Lake Road in Kardinya has now been completed. Transport Minister Dean Nalder said the project was designed to reduce the number and severity of crashes at the intersection, improving safety for road users. "A number of improvements were undertaken as part of the upgrade to this major blackspot intersection in Kardinya, which is used by about 30,000 vehicles every weekday," Mr Nalder said. "In the period from January 2010 to December 2014, 141 crashes were recorded at the intersection. "The program of works included upgraded pedestrian facilities, traffic signal modifications, extra street lighting and a series of civil, signage and pavement marking improvements." The Minister said the additional and extended turning lanes would reduce congestion by increasing vehicle capacity, minimising wait times and boosting overall traffic efficiency at the intersection. "The upgraded lanes are expected to result in less rear-end collisions, therefore improving safety and access for motorists," he said. "Pedestrian safety has also been enhanced with the installation of zebra crossings on both South Street and North Lake Road." The project was undertaken by Main Roads' Integrated Service Provider DownerMouchel and funded by the State capital program. Minister's office - 6552 6400	{"minister": "Nalder", "portfolio": "Transport"}	2016-07-04
946	https://www.mediastatements.wa.gov.au/Pages/Barnett/2016/06/PMH-celebrates-more-than-a-century-of-care.aspx	Princess Margaret Hospital (PMH) is celebrating 107 years of care today, with patients, families, staff and community members gathering to mark the iconic Western Australian institution's last birthday before the opening of the new Perth Children's Hospital (PCH). Cutting the birthday cake, Health Minister John Day paid tribute to PMH's history and said its proud traditions would be reflected in the new $1.2 billion hospital, which is named in honour of the original 1909 hospital. "Before it became Princess Margaret Hospital in 1949, it was called Perth Children's Hospital," the Minister said. "For 107 years, it has been synonymous with care and hope. "The Liberal National Government stands with PMH staff, the Child and Adolescent Health Service and the community in our shared commitment to ensuring the new PCH builds on the legacy of more than a century of healthcare dedication." In 1909, the hospital opened as a 20-bed facility with one operating theatre. It is now an internationally recognised tertiary paediatric hospital, treating about 250,000 children and adolescents each year.  In the 1960s, the PMH pharmacy introduced the use of 'keep out of the reach of children' labels on medicine containers - something to be later adopted by the Pharmaceutical Society that became standard on all Australian medicine containers.  "Throughout its history, PMH has led the way in a variety of medical practices," Mr Day said. "In the 1940s, the hospital became a world leader in treating conditions such as cleft palate and today a number of surgical, paediatric medicine and mental health services are highly renowned."  Today, patients will receive treats from PMH Foundation volunteers, party themed activities will take place in the PMH Megazone and sporting guests will be on site to join in the celebrations. Staff, many in fancy dress, will enjoy cake and coffee at a party in the megazone. "I congratulate the PMH Foundation for helping with a number of events and activities planned to mark the hospital's achievements," the Minister said. Minister's office - 6552 6200	{"minister": "Day", "portfolio": "Health"}	2016-06-30
947	https://www.mediastatements.wa.gov.au/Pages/Barnett/2016/07/A-new-era-Narrogin-unites.aspx	The Shire and Town of Narrogin have today successfully merged to form one local government authority to reduce duplication and lead to greater efficiencies.  The merger adjusts the boundary of the Town of Narrogin to include the existing shire, forming a new and expanded Shire of Narrogin, comprising about 5,500 residents.  Speaking at the official launch of the new shire, Local Government Minister Tony Simpson said the merger would lead to greater collaboration between local government and the community. "The celebration of this historic event is about acknowledging the vision, commitment and generosity of the Narrogin community, who have worked collaboratively and tirelessly to modernise local government representation in the Wheatbelt region," Mr Simpson said.  "The commitment shown by the residents of Narrogin in managing this complex merger process has been an example to all of us. "The best way to build connected, thriving and sustainable communities is to develop solutions in partnership.  "I commend the shire president, mayor, councillors and staff on achieving such a smooth transition."  The Minister said the merger would enable the new Shire of Narrogin to better plan for the future by delivering more sustainable services and infrastructure. "I am confident the merger will enable the new shire to plan and deliver cost-effective services and display the civic leadership it needs to ensure a strong and sustainable future," he said.  Minister's office - 6552 6600	{"minister": "Simpson", "portfolio": "Local Government"}	2016-07-01
